,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Precious Achiuwa,PF,21,MIA,11,2,17.8,3.2,5.3,.603,0.0,0.0,,3.2,5.3,.603,.603,1.8,3.3,.556,2.2,3.5,5.7,1.0,0.2,0.4,1.5,2.5,8.2
1,Jaylen Adams,PG,24,MIL,1,0,1.0,0.0,1.0,.000,0.0,1.0,.000,0.0,0.0,,.000,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,Steven Adams,C,27,NOP,12,12,31.2,4.3,6.6,.646,0.0,0.0,,4.3,6.6,.646,.646,1.6,3.1,.514,3.7,5.3,9.0,2.8,1.2,0.8,1.8,1.8,10.1
3,Bam Adebayo,C,23,MIA,9,9,30.8,6.7,10.2,.652,0.0,0.0,,6.7,10.2,.652,.652,5.2,6.2,.839,1.1,7.7,8.8,5.1,0.9,1.2,3.2,2.6,18.6
4,LaMarcus Aldridge,C,35,SAS,10,10,28.3,5.8,13.7,.423,1.1,4.0,.275,4.7,9.7,.485,.464,0.9,1.1,.818,0.9,4.1,5.0,2.5,0.5,0.7,1.3,2.1,13.6
5,Ty-Shon Alexander,SG,22,PHO,3,0,2.7,0.0,1.0,.000,0.0,0.3,.000,0.0,0.7,.000,.000,0.0,0.0,,0.0,0.3,0.3,0.3,0.0,0.0,0.0,0.3,0.0
6,Nickeil Alexander-Walker,SG,22,NOP,10,3,19.0,4.4,9.3,.473,1.5,3.9,.385,2.9,5.4,.537,.554,1.0,1.3,.769,0.3,2.5,2.8,1.8,0.9,0.1,1.5,2.2,11.3
7,Grayson Allen,SG,25,MEM,11,4,21.1,2.1,5.8,.359,1.5,4.1,.356,0.6,1.7,.368,.484,1.6,1.8,.900,0.5,2.1,2.6,1.9,1.0,0.3,0.9,0.9,7.3
8,Jarrett Allen,C,22,BRK,12,5,26.7,3.7,5.4,.677,0.0,0.0,,3.7,5.4,.677,.677,3.8,5.1,.754,3.2,7.3,10.4,1.7,0.6,1.6,1.8,1.8,11.2
9,Kyle Anderson,PF,27,MEM,12,12,29.8,4.7,11.2,.418,1.4,4.3,.327,3.3,6.8,.476,.481,2.0,2.5,.800,0.9,6.3,7.2,4.3,0.5,0.8,1.8,1.8,12.8
10,Giannis Antetokounmpo,PF,26,MIL,12,12,31.1,9.7,18.1,.535,1.5,4.9,.305,8.2,13.2,.620,.576,5.8,10.0,.575,1.8,8.3,10.0,5.2,1.2,1.2,3.7,3.4,26.6
11,Kostas Antetokounmpo,PF,23,LAL,1,0,8.0,0.0,2.0,.000,0.0,0.0,,0.0,2.0,.000,.000,0.0,0.0,,0.0,4.0,4.0,0.0,0.0,2.0,2.0,1.0,0.0
12,Thanasis Antetokounmpo,SF,28,MIL,12,0,10.3,1.2,1.8,.636,0.2,0.6,.286,1.0,1.3,.800,.682,0.2,0.3,.667,1.0,1.0,2.0,1.0,0.3,0.1,1.1,1.8,2.7
13,Carmelo Anthony,PF,36,POR,12,0,24.8,3.8,9.4,.398,1.8,4.1,.429,2.0,5.3,.375,.491,2.8,3.3,.846,0.3,2.8,3.1,1.2,0.8,0.5,0.8,2.3,12.0
14,Cole Anthony,PG,20,ORL,13,5,24.1,3.7,11.1,.333,0.7,3.4,.205,3.0,7.7,.390,.365,2.3,2.6,.882,0.9,3.3,4.2,3.5,0.7,0.2,1.8,1.8,10.4
15,OG Anunoby,SF,23,TOR,12,12,34.8,4.5,9.8,.462,2.0,5.8,.348,2.5,4.0,.625,.564,2.1,2.9,.714,1.3,4.0,5.3,1.7,2.1,0.6,1.7,2.8,13.1
16,Ryan Arcidiacono,PG,26,CHI,3,0,15.0,1.3,4.0,.333,0.7,2.7,.250,0.7,1.3,.500,.417,1.3,1.7,.800,0.0,3.3,3.3,3.0,0.7,0.0,0.7,1.3,4.7
17,D.J. Augustin,PG,33,MIL,12,0,18.5,1.8,5.0,.367,1.3,3.3,.385,0.6,1.8,.333,.492,1.2,1.2,1.000,0.6,0.8,1.3,2.8,0.4,0.0,1.1,0.5,6.1
18,Deni Avdija,SF,20,WAS,11,11,23.2,2.5,5.6,.452,1.5,3.2,.457,1.1,2.5,.444,.581,0.5,0.7,.625,0.4,3.6,4.0,2.2,1.0,0.3,0.6,2.6,7.0
19,Deandre Ayton,C,22,PHO,11,11,30.2,5.5,9.6,.566,0.1,0.4,.250,5.4,9.3,.578,.571,1.5,2.3,.640,2.9,8.4,11.3,1.8,0.4,1.0,1.8,3.4,12.5
20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Udoka Azubuike,C,21,UTA,6,0,5.0,0.5,0.8,.600,0.0,0.0,,0.5,0.8,.600,.600,0.3,0.7,.500,0.3,0.7,1.0,0.0,0.2,0.2,0.3,0.7,1.3
22,Dwayne Bacon,SG,25,ORL,13,13,25.5,4.0,9.3,.430,0.6,2.1,.296,3.4,7.2,.468,.463,1.2,1.7,.682,0.5,2.7,3.2,0.8,0.5,0.2,0.7,1.6,9.8
23,Marvin Bagley III,PF,21,SAC,14,14,26.1,5.4,11.5,.466,1.0,2.8,.359,4.4,8.7,.500,.509,2.0,3.4,.596,2.1,5.6,7.8,0.9,0.4,0.6,1.8,2.5,13.7
24,LaMelo Ball,PG,19,CHO,14,0,25.2,4.4,11.0,.403,1.6,4.7,.333,2.9,6.3,.455,.474,1.4,2.0,.679,1.8,5.0,6.8,6.1,1.5,0.4,2.1,2.6,11.8
25,Lonzo Ball,PG,23,NOP,9,9,33.4,4.8,12.1,.394,2.2,7.2,.308,2.6,4.9,.523,.486,0.7,1.1,.600,0.4,3.9,4.3,4.4,1.1,0.7,2.9,2.9,12.4
26,Mo Bamba,C,22,ORL,4,0,8.3,2.0,4.5,.444,0.5,1.8,.286,1.5,2.8,.545,.500,0.5,0.8,.667,1.3,2.3,3.5,0.5,0.0,0.5,0.5,2.5,5.0
27,Desmond Bane,SG,22,MEM,12,0,21.9,3.1,6.5,.474,1.8,3.6,.488,1.3,2.9,.457,.609,0.6,0.8,.778,0.4,2.5,2.9,1.0,0.7,0.0,1.0,1.9,8.5
28,Harrison Barnes,PF,28,SAC,14,14,35.1,5.6,11.4,.491,1.4,3.6,.400,4.1,7.8,.532,.553,3.8,4.6,.815,0.9,5.4,6.4,3.2,0.7,0.2,1.5,1.0,16.4
29,RJ Barrett,SG,20,NYK,14,14,36.9,6.1,15.6,.388,1.0,4.4,.226,5.1,11.2,.452,.420,3.6,4.9,.739,1.6,5.9,7.4,3.4,0.9,0.3,1.8,2.2,16.8
30,Will Barton,SF,30,DEN,13,9,28.9,4.3,10.5,.409,1.5,4.1,.358,2.8,6.5,.440,.478,1.2,1.8,.667,0.7,3.6,4.3,2.9,1.1,0.7,0.9,1.8,11.3
31,Keita Bates-Diop,SF,25,SAS,2,0,1.0,0.0,0.5,.000,0.0,0.0,,0.0,0.5,.000,.000,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,Nicolas Batum,SF,32,LAC,14,14,28.2,3.3,6.8,.484,1.9,4.4,.426,1.4,2.4,.588,.621,1.4,1.6,.870,1.1,4.2,5.4,2.7,1.2,0.2,0.6,2.3,9.9
33,Aron Baynes,C,34,TOR,9,9,16.3,2.0,5.3,.375,0.3,2.0,.167,1.7,3.3,.500,.406,0.0,0.0,,1.3,3.6,4.9,0.4,0.1,0.0,0.9,2.2,4.3
34,Kent Bazemore,SF,31,GSW,10,0,15.8,1.9,3.8,.500,0.8,1.6,.500,1.1,2.2,.500,.605,0.4,0.7,.571,0.3,2.4,2.7,2.0,0.8,0.5,1.2,1.8,5.0
35,Darius Bazley,PF,20,OKC,12,12,29.6,3.9,10.5,.373,1.3,4.7,.268,2.7,5.8,.457,.433,1.3,1.6,.842,0.8,6.8,7.6,1.5,0.6,1.0,1.9,1.3,10.4
36,Bradley Beal,SG,27,WAS,10,10,35.9,12.1,24.5,.494,2.4,6.4,.375,9.7,18.1,.536,.543,8.3,9.5,.874,1.5,3.8,5.3,5.0,1.4,0.7,3.3,2.5,34.9
37,Malik Beasley,SG,24,MIN,11,11,32.5,7.5,16.3,.458,2.6,6.8,.387,4.8,9.5,.510,.539,2.6,3.0,.879,0.7,4.0,4.7,2.0,0.5,0.3,1.2,1.3,20.2
38,DeAndre' Bembry,SF,26,TOR,5,0,3.6,0.4,0.8,.500,0.0,0.0,,0.4,0.8,.500,.500,0.0,0.0,,0.0,0.6,0.6,0.4,0.2,0.2,0.8,0.4,0.8
39,Dāvis Bertāns,PF,28,WAS,11,0,24.0,3.5,9.3,.373,2.8,7.8,.360,0.6,1.5,.438,.525,2.1,2.5,.821,0.5,2.5,3.1,1.4,0.5,0.3,0.5,2.1,11.8
40,Patrick Beverley,PG,32,LAC,13,13,26.4,2.9,6.9,.422,2.0,4.5,.441,0.9,2.4,.387,.567,1.0,1.3,.765,1.4,2.9,4.3,2.2,0.8,0.8,0.8,3.6,8.8
41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,Saddiq Bey,SF,21,DET,11,3,21.9,3.0,8.1,.371,2.4,5.5,.426,0.6,2.5,.250,.517,1.6,2.1,.783,0.5,3.6,4.1,0.7,0.5,0.0,0.6,1.7,10.0
43,Tyler Bey,SF,22,DAL,2,0,1.5,0.0,1.0,.000,0.0,0.0,,0.0,1.0,.000,.000,0.5,1.0,.500,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.5
44,Khem Birch,C,28,ORL,13,0,21.2,3.0,5.6,.534,0.1,0.3,.250,2.9,5.3,.551,.541,1.8,2.0,.885,2.7,3.4,6.1,1.1,0.8,0.4,0.5,2.0,7.8
45,Goga Bitadze,C,21,IND,1,0,16.0,2.0,5.0,.400,0.0,1.0,.000,2.0,4.0,.500,.400,1.0,2.0,.500,1.0,1.0,2.0,0.0,2.0,1.0,1.0,2.0,5.0
46,Bismack Biyombo,C,28,CHO,14,13,26.9,3.2,5.8,.556,0.0,0.1,.000,3.2,5.7,.563,.556,1.1,2.5,.457,2.7,4.6,7.3,1.8,0.2,1.4,1.3,2.6,7.6
47,Nemanja Bjelica,PF,32,SAC,10,0,15.1,2.1,5.1,.412,0.5,2.1,.238,1.6,3.0,.533,.461,1.9,2.3,.826,1.0,2.6,3.6,1.9,0.0,0.2,1.2,2.0,6.6
48,Eric Bledsoe,SG,31,NOP,11,10,29.1,4.5,9.8,.454,1.9,4.7,.404,2.5,5.1,.500,.551,1.4,1.8,.750,0.5,2.7,3.3,3.8,1.0,0.4,2.1,1.7,12.2
49,Keljin Blevins,SF,25,POR,4,0,5.0,0.3,1.5,.167,0.0,0.8,.000,0.3,0.8,.333,.167,0.0,0.0,,0.0,0.0,0.0,1.0,0.3,0.0,0.8,0.8,0.5
50,Bogdan Bogdanović,SG,28,ATL,9,2,23.7,3.3,8.7,.385,2.3,6.4,.362,1.0,2.2,.450,.519,0.9,1.0,.889,0.2,3.6,3.8,2.1,0.4,0.1,1.2,2.0,9.9
51,Bojan Bogdanović,SF,31,UTA,13,13,30.3,4.7,12.0,.391,2.5,6.5,.388,2.2,5.5,.394,.497,1.5,2.0,.769,0.7,2.8,3.5,1.7,0.2,0.1,1.6,1.5,13.5
52,Bol Bol,PF,21,DEN,7,2,6.6,0.7,1.7,.417,0.3,0.9,.333,0.4,0.9,.500,.500,0.0,0.0,,0.0,0.7,0.7,0.1,0.0,0.4,0.7,1.0,1.7
53,Marques Bolden,C,22,CLE,6,0,4.8,0.2,0.5,.333,0.0,0.0,,0.2,0.5,.333,.333,0.8,1.3,.625,0.5,0.5,1.0,0.0,0.3,0.3,0.3,0.0,1.2
54,Jordan Bone,PG,23,ORL,8,0,17.5,2.0,4.5,.444,0.6,2.4,.263,1.4,2.1,.647,.514,0.0,0.0,,0.4,2.1,2.5,1.4,0.3,0.0,0.3,0.6,4.6
55,Isaac Bonga,SF,21,WAS,8,4,11.8,1.1,1.8,.643,0.8,1.3,.600,0.4,0.5,.750,.857,0.0,0.1,.000,0.4,1.9,2.3,0.8,0.3,0.4,0.4,1.6,3.0
56,Devin Booker,SG,24,PHO,11,11,35.5,8.1,16.6,.486,2.1,6.0,.348,6.0,10.6,.564,.549,4.7,5.8,.813,0.3,3.0,3.3,4.3,1.1,0.4,4.0,3.0,23.0
57,Chris Boucher,C,28,TOR,12,0,23.5,5.4,9.1,.596,1.8,3.7,.477,3.7,5.4,.677,.693,3.1,4.0,.771,2.1,4.7,6.8,1.0,0.6,2.5,0.6,2.9,15.7
58,Brian Bowen,SF,22,IND,1,0,5.0,1.0,2.0,.500,0.0,0.0,,1.0,2.0,.500,.500,1.0,1.0,1.000,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0
59,Avery Bradley,SG,30,MIA,7,1,22.9,3.6,7.3,.490,1.9,4.1,.448,1.7,3.1,.545,.618,1.0,1.3,.778,0.1,1.7,1.9,1.7,0.9,0.1,0.7,2.6,10.0
60,Tony Bradley,C,23,PHI,5,0,13.4,2.2,4.6,.478,0.0,0.2,.000,2.2,4.4,.500,.478,0.2,0.6,.333,2.8,3.8,6.6,0.6,0.6,1.0,0.2,1.2,4.6
61,Jarrell Brantley,PF,24,UTA,1,0,6.0,0.0,1.0,.000,0.0,1.0,.000,0.0,0.0,,.000,0.0,0.0,,1.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0
62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,Ignas Brazdeikis,SF,22,NYK,4,0,1.8,0.0,0.3,.000,0.0,0.0,,0.0,0.3,.000,.000,0.5,0.5,1.000,0.3,0.3,0.5,0.3,0.0,0.0,0.3,0.0,0.5
64,Mikal Bridges,SF,24,PHO,11,11,32.7,5.2,10.3,.504,2.6,5.8,.453,2.5,4.5,.571,.633,2.1,2.4,.885,1.3,4.1,5.4,1.3,0.5,1.2,0.3,1.9,15.1
65,Miles Bridges,PF,22,CHO,14,0,25.9,3.4,7.6,.449,1.4,3.5,.408,2.0,4.1,.483,.542,1.0,1.1,.933,1.0,4.1,5.1,2.0,0.8,1.0,1.8,2.4,9.3
66,Malcolm Brogdon,PG,28,IND,13,13,36.6,8.5,18.1,.468,3.0,6.9,.433,5.5,11.2,.490,.551,2.3,2.6,.882,0.7,3.3,4.0,7.5,1.8,0.2,1.7,1.8,22.2
67,Dillon Brooks,SF,25,MEM,12,12,29.8,6.3,16.3,.383,2.1,6.5,.321,4.2,9.8,.424,.446,1.6,2.0,.792,1.4,2.7,4.1,3.1,1.5,0.4,2.6,3.6,16.2
68,Bruce Brown,PG,24,BRK,10,5,16.1,2.5,4.4,.568,0.2,1.1,.182,2.3,3.3,.697,.591,0.3,0.5,.600,0.9,3.3,4.2,1.2,0.2,0.4,1.4,1.6,5.5
69,Jaylen Brown,SG,24,BOS,12,12,33.6,9.8,18.6,.529,2.4,5.9,.408,7.4,12.7,.586,.594,3.7,4.6,.800,1.3,4.6,5.8,3.8,1.6,0.6,2.8,2.8,25.8
70,Moses Brown,C,21,OKC,4,0,4.0,0.8,1.3,.600,0.0,0.0,,0.8,1.3,.600,.600,1.3,3.0,.417,0.5,1.5,2.0,0.3,0.3,0.5,0.0,0.5,2.8
71,Sterling Brown,SG,25,HOU,10,1,20.5,3.2,6.2,.516,1.7,3.7,.459,1.5,2.5,.600,.653,0.4,0.4,1.000,0.8,2.4,3.2,1.0,1.0,0.0,0.4,1.8,8.5
72,Troy Brown Jr.,SF,21,WAS,7,0,17.6,1.9,4.3,.433,0.9,2.6,.333,1.0,1.7,.583,.533,0.0,0.4,.000,0.7,2.4,3.1,1.1,0.3,0.1,0.7,2.0,4.6
73,Jalen Brunson,PG,24,DAL,8,1,19.1,4.0,8.1,.492,0.9,2.8,.318,3.1,5.4,.581,.546,2.3,2.5,.900,0.0,2.5,2.5,3.5,0.5,0.0,1.8,1.1,11.1
74,Thomas Bryant,C,23,WAS,10,10,27.1,5.9,9.1,.648,0.9,2.1,.429,5.0,7.0,.714,.698,1.6,2.4,.667,1.8,4.3,6.1,1.5,0.4,0.8,1.1,3.1,14.3
75,Reggie Bullock,SF,29,NYK,12,12,28.8,3.3,8.3,.390,1.5,4.6,.327,1.8,3.8,.467,.480,0.3,0.6,.571,0.4,4.1,4.5,1.3,0.8,0.2,0.9,2.7,8.3
76,Trey Burke,PG,28,DAL,11,0,21.3,3.4,8.3,.407,1.8,4.3,.426,1.5,4.0,.386,.516,1.0,1.4,.733,0.3,1.5,1.7,1.8,0.5,0.2,0.8,1.9,9.5
77,Alec Burks,SG,29,NYK,3,0,27.7,5.7,10.7,.531,3.3,5.0,.667,2.3,5.7,.412,.688,6.0,6.7,.900,0.0,3.7,3.7,3.7,1.0,0.7,2.3,3.3,20.7
78,Jimmy Butler,SF,31,MIA,6,6,29.0,5.7,12.8,.442,0.0,1.2,.000,5.7,11.7,.486,.442,4.5,4.8,.931,1.7,3.8,5.5,5.3,2.2,0.7,1.8,0.7,15.8
79,Bruno Caboclo,PF,25,HOU,6,0,6.0,1.3,2.8,.471,0.0,0.8,.000,1.3,2.0,.667,.471,0.2,0.3,.500,0.5,1.8,2.3,0.2,0.0,0.3,0.7,1.0,2.8
80,Kentavious Caldwell-Pope,SG,27,LAL,10,10,23.0,3.8,7.1,.535,2.1,3.8,.553,1.7,3.3,.515,.683,1.0,1.1,.909,0.5,1.5,2.0,1.4,1.2,0.3,0.8,1.5,10.7
81,Facundo Campazzo,PG,29,DEN,12,0,12.2,1.4,3.4,.415,1.0,2.4,.414,0.4,1.0,.417,.561,0.8,1.1,.769,0.1,0.8,0.9,1.4,0.6,0.1,0.8,2.2,4.7
82,Vlatko Čančar,PF,23,DEN,4,0,2.5,0.0,0.5,.000,0.0,0.3,.000,0.0,0.3,.000,.000,0.0,0.0,,0.3,0.0,0.3,0.0,0.3,0.3,0.5,0.0,0.0
83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,Clint Capela,C,26,ATL,10,10,27.5,5.3,9.2,.576,0.0,0.0,,5.3,9.2,.576,.576,1.5,3.0,.500,3.6,9.3,12.9,1.0,0.6,1.2,1.2,2.1,12.1
85,Vernon Carey Jr.,C,19,CHO,3,0,2.0,0.3,1.0,.333,0.0,0.3,.000,0.3,0.7,.500,.333,0.3,0.7,.500,0.7,0.3,1.0,0.3,0.0,0.3,0.0,0.0,1.0
86,Jevon Carter,PG,25,PHO,11,0,13.2,1.5,3.9,.372,0.5,2.5,.222,0.9,1.5,.625,.442,0.0,0.0,,0.1,1.5,1.5,0.9,0.6,0.5,0.2,1.6,3.5
87,Wendell Carter Jr.,C,21,CHI,13,13,27.4,4.7,8.8,.530,0.3,1.2,.267,4.4,7.7,.570,.548,3.3,4.6,.717,2.3,5.7,8.0,2.5,0.6,0.7,1.8,3.2,13.0
88,Michael Carter-Williams,SG,29,ORL,7,2,22.9,2.1,6.3,.341,0.1,1.7,.083,2.0,4.6,.438,.352,0.7,0.9,.833,2.1,3.0,5.1,1.7,0.6,0.6,1.3,2.7,5.1
89,Alex Caruso,PG,26,LAL,9,0,17.4,2.0,4.0,.500,1.6,2.7,.583,0.4,1.3,.333,.694,0.1,0.2,.500,0.3,2.3,2.7,2.2,1.1,0.2,1.2,1.0,5.7
90,Willie Cauley-Stein,C,27,DAL,12,6,19.3,2.5,3.9,.638,0.0,0.2,.000,2.5,3.8,.667,.638,1.3,2.0,.625,1.7,4.3,6.0,0.9,0.3,0.7,0.7,2.8,6.3
91,Chris Chiozza,PG,25,BRK,6,0,13.8,1.5,6.0,.250,0.7,2.5,.267,0.8,3.5,.238,.306,0.7,1.0,.667,0.5,0.8,1.3,3.0,0.7,0.5,1.0,0.8,4.3
92,Marquese Chriss,PF,23,GSW,2,0,13.5,2.5,7.0,.357,0.5,2.5,.200,2.0,4.5,.444,.393,1.0,2.0,.500,1.5,5.0,6.5,1.0,0.0,1.0,1.0,1.5,6.5
93,Gary Clark,SF,26,ORL,10,2,20.9,1.1,3.7,.297,0.7,2.8,.250,0.4,0.9,.444,.392,0.4,0.5,.800,1.1,2.8,3.9,0.6,0.4,0.2,0.9,1.2,3.3
94,Brandon Clarke,PF,24,MEM,12,8,28.8,5.7,12.3,.459,0.5,2.2,.231,5.2,10.2,.508,.480,1.1,2.2,.500,2.0,4.2,6.2,1.8,1.0,0.8,0.8,1.8,12.9
95,Jordan Clarkson,SG,28,UTA,13,0,25.0,6.7,13.4,.500,3.0,7.0,.429,3.7,6.4,.578,.612,1.2,1.2,.938,1.1,3.5,4.6,1.8,1.0,0.3,2.0,1.4,17.5
96,Amir Coffey,SG,23,LAC,10,0,5.3,0.7,1.7,.412,0.3,0.7,.429,0.4,1.0,.400,.500,0.2,0.5,.400,0.2,0.1,0.3,0.4,0.0,0.0,0.1,0.3,1.9
97,John Collins,PF,23,ATL,12,12,28.2,6.0,11.3,.529,1.1,3.2,.342,4.9,8.2,.602,.577,2.6,3.3,.795,2.3,5.0,7.3,1.6,0.7,0.8,1.2,3.3,15.7
98,Mike Conley,PG,33,UTA,13,13,30.1,5.9,13.0,.456,2.9,6.9,.422,3.0,6.1,.494,.568,2.1,3.0,.692,1.0,3.2,4.2,6.0,1.3,0.1,2.2,2.0,16.8
99,Pat Connaughton,SG,28,MIL,10,0,16.9,2.1,4.7,.447,1.6,3.3,.485,0.5,1.4,.357,.617,0.2,0.2,1.000,1.0,2.8,3.8,1.4,0.8,0.4,0.1,1.2,6.0
100,Quinn Cook,PG,27,LAL,10,0,3.7,0.7,1.5,.467,0.4,0.8,.500,0.3,0.7,.429,.600,0.4,0.5,.800,0.0,0.2,0.2,0.3,0.1,0.0,0.1,0.1,2.2
101,DeMarcus Cousins,C,30,HOU,8,1,14.0,2.3,6.6,.340,1.0,3.1,.320,1.3,3.5,.357,.415,1.6,2.3,.722,1.1,4.8,5.9,1.6,0.8,1.0,1.3,1.9,7.1
102,Robert Covington,PF,30,POR,13,13,30.2,2.2,7.2,.298,1.6,5.2,.309,0.5,2.0,.269,.410,0.5,0.6,.875,0.6,5.3,5.9,1.8,1.4,0.5,1.2,2.8,6.5
103,Torrey Craig,SF,30,MIL,2,0,6.5,0.0,0.5,.000,0.0,0.0,,0.0,0.5,.000,.000,0.0,0.0,,0.0,2.0,2.0,1.0,0.0,0.5,0.5,1.0,0.0
104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,Jae Crowder,PF,30,PHO,11,11,28.8,3.3,8.1,.404,2.3,6.5,.352,1.0,1.6,.611,.545,1.1,1.3,.857,0.4,4.5,4.9,2.3,0.6,0.1,0.6,2.4,9.9
106,Jarrett Culver,SG,21,MIN,11,7,22.5,3.0,6.8,.440,0.5,2.0,.227,2.5,4.8,.528,.473,0.9,1.7,.526,1.9,3.7,5.6,1.1,0.5,0.3,1.5,2.3,7.4
107,Seth Curry,SG,30,PHI,8,8,30.0,5.9,9.8,.603,3.1,5.3,.595,2.8,4.5,.611,.763,2.1,2.1,1.000,0.1,2.1,2.3,3.6,0.8,0.4,1.5,1.8,17.0
108,Stephen Curry,PG,32,GSW,12,12,34.5,9.2,20.5,.447,4.2,11.1,.376,5.0,9.4,.531,.549,5.9,6.3,.934,0.8,4.8,5.6,6.2,1.3,0.2,3.4,2.3,28.4
109,Anthony Davis,PF,27,LAL,12,12,31.9,8.5,15.6,.545,1.1,2.9,.371,7.4,12.7,.586,.580,3.6,4.8,.754,1.8,6.6,8.3,3.1,1.3,1.8,1.8,1.4,21.7
110,Ed Davis,C,31,MIN,8,4,13.9,1.0,2.6,.381,0.0,0.0,,1.0,2.6,.381,.381,0.4,0.5,.750,2.4,3.1,5.5,0.8,0.4,0.5,0.3,2.3,2.4
111,Terence Davis,SG,23,TOR,7,0,12.1,2.6,5.6,.462,1.3,3.1,.409,1.3,2.4,.529,.577,0.7,0.7,1.000,0.1,1.4,1.6,1.1,0.4,0.1,0.9,1.3,7.1
112,DeMar DeRozan,SF,31,SAS,11,11,34.7,7.2,15.6,.459,0.8,2.4,.346,6.4,13.3,.479,.485,5.5,6.3,.884,0.9,4.8,5.7,6.7,1.0,0.7,1.5,2.0,20.7
113,Hamidou Diallo,SG,22,OKC,12,0,20.4,4.4,8.2,.541,0.3,1.1,.308,4.1,7.1,.576,.561,2.2,3.3,.667,0.8,4.1,4.9,1.8,1.0,0.3,1.3,2.3,11.3
114,Gorgui Dieng,C,31,MEM,9,0,17.0,3.1,6.0,.519,1.1,2.7,.417,2.0,3.3,.600,.611,0.8,0.8,1.000,1.2,3.3,4.6,1.6,1.0,0.6,1.1,1.6,8.1
115,Spencer Dinwiddie,SG,27,BRK,3,3,21.3,2.0,5.3,.375,0.7,2.3,.286,1.3,3.0,.444,.438,2.0,2.0,1.000,0.0,4.3,4.3,3.0,0.7,0.3,1.7,1.3,6.7
116,Donte DiVincenzo,SG,24,MIL,13,13,25.1,3.8,8.5,.450,2.2,4.8,.444,1.7,3.7,.458,.577,0.5,0.6,.750,0.8,3.3,4.1,2.5,1.5,0.2,1.2,1.2,10.3
117,Luka Dončić,PG,21,DAL,11,11,34.5,10.2,21.9,.465,2.3,7.6,.298,7.9,14.3,.554,.517,5.6,7.6,.738,1.3,8.9,10.2,9.4,1.2,0.8,4.4,1.8,28.3
118,Luguentz Dort,SG,21,OKC,12,12,28.6,4.3,9.4,.460,2.3,5.4,.431,2.0,4.0,.500,.584,1.8,2.3,.786,0.8,3.1,3.8,0.8,1.2,0.3,1.2,2.5,12.8
119,Damyean Dotson,SG,26,CLE,12,6,26.5,3.5,8.6,.408,1.2,4.5,.259,2.3,4.1,.571,.476,0.8,1.3,.667,0.2,1.5,1.7,3.0,0.7,0.2,1.1,1.1,9.0
120,Devon Dotson,PG,21,CHI,1,0,10.0,2.0,4.0,.500,0.0,0.0,,2.0,4.0,.500,.500,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,4.0
121,Sekou Doumbouya,PF,20,DET,11,0,11.9,1.5,4.4,.354,0.6,1.6,.389,0.9,2.7,.333,.427,0.7,0.8,.889,0.6,1.8,2.5,0.5,0.4,0.2,0.2,1.3,4.5
