GAME_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_CITY,PLAYER_ID,PLAYER_NAME,START_POSITION,COMMENT,MIN,EFG_PCT,FTA_RATE,TM_TOV_PCT,OREB_PCT,OPP_EFG_PCT,OPP_FTA_RATE,OPP_TOV_PCT,OPP_OREB_PCT,file_name
0022000001,1610612744,GSW,Golden State,203952,Andrew Wiggins,F,,31:14,0.32,0.281,0.162,0.25,0.56,0.379,0.153,0.25,nba_DFs/player_bs_ff_2020-12-22.csv
0022000001,1610612744,GSW,Golden State,1629672,Eric Paschall,F,,21:33,0.354,0.268,0.161,0.154,0.622,0.439,0.118,0.2,nba_DFs/player_bs_ff_2020-12-22.csv
0022000001,1610612744,GSW,Golden State,1630164,James Wiseman,C,,24:17,0.417,0.292,0.14,0.167,0.472,0.208,0.197,0.346,nba_DFs/player_bs_ff_2020-12-22.csv
0022000001,1610612744,GSW,Golden State,1626162,Kelly Oubre Jr.,G,,25:39,0.398,0.241,0.159,0.219,0.611,0.352,0.166,0.292,nba_DFs/player_bs_ff_2020-12-22.csv
0022000001,1610612744,GSW,Golden State,201939,Stephen Curry,G,,30:19,0.431,0.2,0.161,0.222,0.592,0.383,0.171,0.259,nba_DFs/player_bs_ff_2020-12-22.csv
0022000001,1610612744,GSW,Golden State,1626172,Kevon Looney,,,11:17,0.479,0.208,0.184,0.308,0.778,0.556,0.227,0.222,nba_DFs/player_bs_ff_2020-12-22.csv
0022000001,1610612744,GSW,Golden State,203145,Kent Bazemore,,,11:35,0.537,0.037,0.197,0.25,0.656,0.875,0.221,0.111,nba_DFs/player_bs_ff_2020-12-22.csv
0022000001,1610612744,GSW,Golden State,1627814,Damion Lee,,,12:14,0.571,0.214,0.135,0.385,0.455,0.273,0.225,0.286,nba_DFs/player_bs_ff_2020-12-22.csv
0022000001,1610612744,GSW,Golden State,1627737,Marquese Chriss,,,12:26,0.389,0.148,0.168,0.286,0.5,0.524,0.077,0.167,nba_DFs/player_bs_ff_2020-12-22.csv
0022000001,1610612744,GSW,Golden State,1629673,Jordan Poole,,,17:55,0.412,0.294,0.152,0.238,0.424,0.273,0.184,0.3,nba_DFs/player_bs_ff_2020-12-22.csv
0022000001,1610612744,GSW,Golden State,202954,Brad Wanamaker,,,21:40,0.444,0.222,0.124,0.259,0.429,0.214,0.209,0.333,nba_DFs/player_bs_ff_2020-12-22.csv
0022000001,1610612744,GSW,Golden State,1629308,Juan Toscano-Anderson,,,13:15,0.346,0.231,0.184,0.125,0.464,0.286,0.209,0.385,nba_DFs/player_bs_ff_2020-12-22.csv
0022000001,1610612744,GSW,Golden State,1628539,Mychal Mulder,,,6:36,0.833,0.333,0.136,0.2,0.429,0.0,0.214,0.333,nba_DFs/player_bs_ff_2020-12-22.csv
0022000001,1610612751,BKN,Brooklyn,203925,Joe Harris,F,,20:46,0.585,0.191,0.151,0.316,0.369,0.286,0.142,0.192,nba_DFs/player_bs_ff_2020-12-22.csv
0022000001,1610612751,BKN,Brooklyn,201142,Kevin Durant,F,,24:56,0.566,0.358,0.142,0.292,0.368,0.245,0.148,0.219,nba_DFs/player_bs_ff_2020-12-22.csv
0022000001,1610612751,BKN,Brooklyn,201599,DeAndre Jordan,C,,17:03,0.569,0.306,0.182,0.357,0.303,0.303,0.127,0.125,nba_DFs/player_bs_ff_2020-12-22.csv
0022000001,1610612751,BKN,Brooklyn,203915,Spencer Dinwiddie,G,,19:57,0.583,0.31,0.158,0.294,0.333,0.256,0.129,0.115,nba_DFs/player_bs_ff_2020-12-22.csv
0022000001,1610612751,BKN,Brooklyn,202681,Kyrie Irving,G,,25:18,0.6,0.345,0.138,0.292,0.368,0.245,0.175,0.219,nba_DFs/player_bs_ff_2020-12-22.csv
0022000001,1610612751,BKN,Brooklyn,1628386,Jarrett Allen,,,19:37,0.578,0.594,0.158,0.167,0.43,0.116,0.187,0.273,nba_DFs/player_bs_ff_2020-12-22.csv
0022000001,1610612751,BKN,Brooklyn,1629013,Landry Shamet,,,19:43,0.552,0.724,0.203,0.176,0.375,0.159,0.183,0.28,nba_DFs/player_bs_ff_2020-12-22.csv
0022000001,1610612751,BKN,Brooklyn,1627747,Caris LeVert,,,24:49,0.55,0.575,0.196,0.217,0.364,0.164,0.194,0.29,nba_DFs/player_bs_ff_2020-12-22.csv
0022000001,1610612751,BKN,Brooklyn,201145,Jeff Green,,,17:17,0.55,0.3,0.211,0.25,0.405,0.216,0.193,0.35,nba_DFs/player_bs_ff_2020-12-22.csv
0022000001,1610612751,BKN,Brooklyn,1627752,Taurean Prince,,,16:06,0.457,0.565,0.237,0.214,0.368,0.176,0.136,0.25,nba_DFs/player_bs_ff_2020-12-22.csv
0022000001,1610612751,BKN,Brooklyn,1629617,Reggie Perry,,,7:46,0.375,0.125,0.189,0.364,0.714,0.429,0.12,0.286,nba_DFs/player_bs_ff_2020-12-22.csv
0022000001,1610612751,BKN,Brooklyn,1628971,Bruce Brown,,,7:31,0.375,0.125,0.189,0.364,0.769,0.308,0.127,0.167,nba_DFs/player_bs_ff_2020-12-22.csv
0022000001,1610612751,BKN,Brooklyn,1627789,Timothe Luwawu-Cabarrot,,,6:36,0.429,0.0,0.214,0.333,0.833,0.333,0.136,0.2,nba_DFs/player_bs_ff_2020-12-22.csv
0022000001,1610612751,BKN,Brooklyn,1629066,Rodions Kurucs,,,6:36,0.429,0.0,0.214,0.333,0.833,0.333,0.136,0.2,nba_DFs/player_bs_ff_2020-12-22.csv
0022000001,1610612751,BKN,Brooklyn,204020,Tyler Johnson,,,5:59,0.346,0.0,0.231,0.333,0.909,0.364,0.078,0.25,nba_DFs/player_bs_ff_2020-12-22.csv
0022000001,1610612744,GSW,Golden State,203952,Andrew Wiggins,F,,31:14,0.32,0.281,0.162,0.25,0.56,0.379,0.153,0.25,nba_DFs/player_bs_ff_2020-12-22.csv
0022000001,1610612744,GSW,Golden State,1629672,Eric Paschall,F,,21:33,0.354,0.268,0.161,0.154,0.622,0.439,0.118,0.2,nba_DFs/player_bs_ff_2020-12-22.csv
0022000001,1610612744,GSW,Golden State,1630164,James Wiseman,C,,24:17,0.417,0.292,0.14,0.167,0.472,0.208,0.197,0.346,nba_DFs/player_bs_ff_2020-12-22.csv
0022000001,1610612744,GSW,Golden State,1626162,Kelly Oubre Jr.,G,,25:39,0.398,0.241,0.159,0.219,0.611,0.352,0.166,0.292,nba_DFs/player_bs_ff_2020-12-22.csv
0022000001,1610612744,GSW,Golden State,201939,Stephen Curry,G,,30:19,0.431,0.2,0.161,0.222,0.592,0.383,0.171,0.259,nba_DFs/player_bs_ff_2020-12-22.csv
0022000001,1610612744,GSW,Golden State,1626172,Kevon Looney,,,11:17,0.479,0.208,0.184,0.308,0.778,0.556,0.227,0.222,nba_DFs/player_bs_ff_2020-12-22.csv
0022000001,1610612744,GSW,Golden State,203145,Kent Bazemore,,,11:35,0.537,0.037,0.197,0.25,0.656,0.875,0.221,0.111,nba_DFs/player_bs_ff_2020-12-22.csv
0022000001,1610612744,GSW,Golden State,1627814,Damion Lee,,,12:14,0.571,0.214,0.135,0.385,0.455,0.273,0.225,0.286,nba_DFs/player_bs_ff_2020-12-22.csv
0022000001,1610612744,GSW,Golden State,1627737,Marquese Chriss,,,12:26,0.389,0.148,0.168,0.286,0.5,0.524,0.077,0.167,nba_DFs/player_bs_ff_2020-12-22.csv
0022000001,1610612744,GSW,Golden State,1629673,Jordan Poole,,,17:55,0.412,0.294,0.152,0.238,0.424,0.273,0.184,0.3,nba_DFs/player_bs_ff_2020-12-22.csv
0022000001,1610612744,GSW,Golden State,202954,Brad Wanamaker,,,21:40,0.444,0.222,0.124,0.259,0.429,0.214,0.209,0.333,nba_DFs/player_bs_ff_2020-12-22.csv
0022000001,1610612744,GSW,Golden State,1629308,Juan Toscano-Anderson,,,13:15,0.346,0.231,0.184,0.125,0.464,0.286,0.209,0.385,nba_DFs/player_bs_ff_2020-12-22.csv
0022000001,1610612744,GSW,Golden State,1628539,Mychal Mulder,,,6:36,0.833,0.333,0.136,0.2,0.429,0.0,0.214,0.333,nba_DFs/player_bs_ff_2020-12-22.csv
0022000001,1610612751,BKN,Brooklyn,203925,Joe Harris,F,,20:46,0.585,0.191,0.151,0.316,0.369,0.286,0.142,0.192,nba_DFs/player_bs_ff_2020-12-22.csv
0022000001,1610612751,BKN,Brooklyn,201142,Kevin Durant,F,,24:56,0.566,0.358,0.142,0.292,0.368,0.245,0.148,0.219,nba_DFs/player_bs_ff_2020-12-22.csv
0022000001,1610612751,BKN,Brooklyn,201599,DeAndre Jordan,C,,17:03,0.569,0.306,0.182,0.357,0.303,0.303,0.127,0.125,nba_DFs/player_bs_ff_2020-12-22.csv
0022000001,1610612751,BKN,Brooklyn,203915,Spencer Dinwiddie,G,,19:57,0.583,0.31,0.158,0.294,0.333,0.256,0.129,0.115,nba_DFs/player_bs_ff_2020-12-22.csv
0022000001,1610612751,BKN,Brooklyn,202681,Kyrie Irving,G,,25:18,0.6,0.345,0.138,0.292,0.368,0.245,0.175,0.219,nba_DFs/player_bs_ff_2020-12-22.csv
0022000001,1610612751,BKN,Brooklyn,1628386,Jarrett Allen,,,19:37,0.578,0.594,0.158,0.167,0.43,0.116,0.187,0.273,nba_DFs/player_bs_ff_2020-12-22.csv
0022000001,1610612751,BKN,Brooklyn,1629013,Landry Shamet,,,19:43,0.552,0.724,0.203,0.176,0.375,0.159,0.183,0.28,nba_DFs/player_bs_ff_2020-12-22.csv
0022000001,1610612751,BKN,Brooklyn,1627747,Caris LeVert,,,24:49,0.55,0.575,0.196,0.217,0.364,0.164,0.194,0.29,nba_DFs/player_bs_ff_2020-12-22.csv
0022000001,1610612751,BKN,Brooklyn,201145,Jeff Green,,,17:17,0.55,0.3,0.211,0.25,0.405,0.216,0.193,0.35,nba_DFs/player_bs_ff_2020-12-22.csv
0022000001,1610612751,BKN,Brooklyn,1627752,Taurean Prince,,,16:06,0.457,0.565,0.237,0.214,0.368,0.176,0.136,0.25,nba_DFs/player_bs_ff_2020-12-22.csv
0022000001,1610612751,BKN,Brooklyn,1629617,Reggie Perry,,,7:46,0.375,0.125,0.189,0.364,0.714,0.429,0.12,0.286,nba_DFs/player_bs_ff_2020-12-22.csv
0022000001,1610612751,BKN,Brooklyn,1628971,Bruce Brown,,,7:31,0.375,0.125,0.189,0.364,0.769,0.308,0.127,0.167,nba_DFs/player_bs_ff_2020-12-22.csv
0022000001,1610612751,BKN,Brooklyn,1627789,Timothe Luwawu-Cabarrot,,,6:36,0.429,0.0,0.214,0.333,0.833,0.333,0.136,0.2,nba_DFs/player_bs_ff_2020-12-22.csv
0022000001,1610612751,BKN,Brooklyn,1629066,Rodions Kurucs,,,6:36,0.429,0.0,0.214,0.333,0.833,0.333,0.136,0.2,nba_DFs/player_bs_ff_2020-12-22.csv
0022000001,1610612751,BKN,Brooklyn,204020,Tyler Johnson,,,5:59,0.346,0.0,0.231,0.333,0.909,0.364,0.078,0.25,nba_DFs/player_bs_ff_2020-12-22.csv
0022000002,1610612746,LAC,LA,202695,Kawhi Leonard,F,,34:00,0.56,0.239,0.158,0.278,0.569,0.414,0.155,0.13,nba_DFs/player_bs_ff_2020-12-22.csv
0022000002,1610612746,LAC,LA,201587,Nicolas Batum,F,,28:10,0.555,0.255,0.158,0.276,0.628,0.319,0.165,0.143,nba_DFs/player_bs_ff_2020-12-22.csv
0022000002,1610612746,LAC,LA,201586,Serge Ibaka,C,,20:32,0.559,0.206,0.227,0.158,0.611,0.278,0.151,0.063,nba_DFs/player_bs_ff_2020-12-22.csv
0022000002,1610612746,LAC,LA,202331,Paul George,G,,35:46,0.597,0.239,0.146,0.121,0.516,0.242,0.219,0.25,nba_DFs/player_bs_ff_2020-12-22.csv
0022000002,1610612746,LAC,LA,201976,Patrick Beverley,G,,22:07,0.57,0.256,0.164,0.333,0.629,0.387,0.199,0.0,nba_DFs/player_bs_ff_2020-12-22.csv
0022000002,1610612746,LAC,LA,1627826,Ivica Zubac,,,26:31,0.552,0.207,0.098,0.286,0.443,0.477,0.206,0.333,nba_DFs/player_bs_ff_2020-12-22.csv
0022000002,1610612746,LAC,LA,202335,Patrick Patterson,,,19:37,0.554,0.135,0.142,0.167,0.394,0.485,0.204,0.313,nba_DFs/player_bs_ff_2020-12-22.csv
0022000002,1610612746,LAC,LA,101150,Lou Williams,,,25:56,0.509,0.148,0.137,0.241,0.449,0.388,0.168,0.364,nba_DFs/player_bs_ff_2020-12-22.csv
0022000002,1610612746,LAC,LA,1628379,Luke Kennard,,,21:03,0.577,0.154,0.16,0.278,0.486,0.639,0.145,0.357,nba_DFs/player_bs_ff_2020-12-22.csv
0022000002,1610612746,LAC,LA,1629611,Terance Mann,,,1:03,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,nba_DFs/player_bs_ff_2020-12-22.csv
0022000002,1610612746,LAC,LA,202704,Reggie Jackson,,,3:21,0.125,0.0,0.111,0.0,0.25,0.0,0.25,0.0,nba_DFs/player_bs_ff_2020-12-22.csv
0022000002,1610612746,LAC,LA,1629662,Mfiondu Kabengele,,,0:57,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,nba_DFs/player_bs_ff_2020-12-22.csv
0022000002,1610612746,LAC,LA,1629599,Amir Coffey,,,0:57,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,nba_DFs/player_bs_ff_2020-12-22.csv
0022000002,1610612746,LAC,LA,1630187,Daniel Oturu,,DNP - Coach's Decision                  ,,,,,,,,,,nba_DFs/player_bs_ff_2020-12-22.csv
0022000002,1610612747,LAL,Los Angeles,2544,LeBron James,F,,28:21,0.528,0.283,0.157,0.222,0.538,0.17,0.129,0.103,nba_DFs/player_bs_ff_2020-12-22.csv
0022000002,1610612747,LAL,Los Angeles,203076,Anthony Davis,F,,30:53,0.538,0.404,0.159,0.13,0.602,0.25,0.114,0.29,nba_DFs/player_bs_ff_2020-12-22.csv
0022000002,1610612747,LAL,Los Angeles,201188,Marc Gasol,C,,12:02,0.738,0.095,0.121,0.0,0.795,0.273,0.078,0.111,nba_DFs/player_bs_ff_2020-12-22.csv
0022000002,1610612747,LAL,Los Angeles,203484,Kentavious Caldwell-Pope,G,,23:03,0.649,0.27,0.186,0.118,0.633,0.267,0.156,0.304,nba_DFs/player_bs_ff_2020-12-22.csv
0022000002,1610612747,LAL,Los Angeles,203471,Dennis Schroder,G,,27:48,0.52,0.333,0.155,0.174,0.637,0.275,0.147,0.192,nba_DFs/player_bs_ff_2020-12-22.csv
0022000002,1610612747,LAL,Los Angeles,1626149,Montrezl Harrell,,,32:15,0.453,0.453,0.21,0.28,0.484,0.172,0.167,0.265,nba_DFs/player_bs_ff_2020-12-22.csv
0022000002,1610612747,LAL,Los Angeles,202083,Wesley Matthews,,,11:06,0.263,0.316,0.203,0.222,0.7,0.25,0.165,0.333,nba_DFs/player_bs_ff_2020-12-22.csv
0022000002,1610612747,LAL,Los Angeles,1628398,Kyle Kuzma,,,26:38,0.415,0.447,0.183,0.318,0.48,0.184,0.158,0.185,nba_DFs/player_bs_ff_2020-12-22.csv
0022000002,1610612747,LAL,Los Angeles,202693,Markieff Morris,,,19:00,0.5,0.455,0.188,0.333,0.412,0.088,0.213,0.1,nba_DFs/player_bs_ff_2020-12-22.csv
0022000002,1610612747,LAL,Los Angeles,1627936,Alex Caruso,,,16:40,0.542,0.583,0.228,0.25,0.405,0.189,0.128,0.286,nba_DFs/player_bs_ff_2020-12-22.csv
0022000002,1610612747,LAL,Los Angeles,1629659,Talen Horton-Tucker,,,10:51,0.808,0.769,0.234,0.333,0.478,0.13,0.237,0.417,nba_DFs/player_bs_ff_2020-12-22.csv
0022000002,1610612747,LAL,Los Angeles,1626188,Quinn Cook,,,1:23,1.0,0.0,0.0,0.0,0.333,0.0,0.0,0.5,nba_DFs/player_bs_ff_2020-12-22.csv
0022000002,1610612747,LAL,Los Angeles,201162,Jared Dudley,,DNP - Coach's Decision                  ,,,,,,,,,,nba_DFs/player_bs_ff_2020-12-22.csv
0022000002,1610612747,LAL,Los Angeles,1628035,Alfonzo McKinnie,,DNP - Coach's Decision                  ,,,,,,,,,,nba_DFs/player_bs_ff_2020-12-22.csv
0022000002,1610612746,LAC,LA,202695,Kawhi Leonard,F,,34:00,0.56,0.239,0.158,0.278,0.569,0.414,0.155,0.13,nba_DFs/player_bs_ff_2020-12-22.csv
0022000002,1610612746,LAC,LA,201587,Nicolas Batum,F,,28:10,0.555,0.255,0.158,0.276,0.628,0.319,0.165,0.143,nba_DFs/player_bs_ff_2020-12-22.csv
0022000002,1610612746,LAC,LA,201586,Serge Ibaka,C,,20:32,0.559,0.206,0.227,0.158,0.611,0.278,0.151,0.063,nba_DFs/player_bs_ff_2020-12-22.csv
0022000002,1610612746,LAC,LA,202331,Paul George,G,,35:46,0.597,0.239,0.146,0.121,0.516,0.242,0.219,0.25,nba_DFs/player_bs_ff_2020-12-22.csv
0022000002,1610612746,LAC,LA,201976,Patrick Beverley,G,,22:07,0.57,0.256,0.164,0.333,0.629,0.387,0.199,0.0,nba_DFs/player_bs_ff_2020-12-22.csv
0022000002,1610612746,LAC,LA,1627826,Ivica Zubac,,,26:31,0.552,0.207,0.098,0.286,0.443,0.477,0.206,0.333,nba_DFs/player_bs_ff_2020-12-22.csv
0022000002,1610612746,LAC,LA,202335,Patrick Patterson,,,19:37,0.554,0.135,0.142,0.167,0.394,0.485,0.204,0.313,nba_DFs/player_bs_ff_2020-12-22.csv
0022000002,1610612746,LAC,LA,101150,Lou Williams,,,25:56,0.509,0.148,0.137,0.241,0.449,0.388,0.168,0.364,nba_DFs/player_bs_ff_2020-12-22.csv
0022000002,1610612746,LAC,LA,1628379,Luke Kennard,,,21:03,0.577,0.154,0.16,0.278,0.486,0.639,0.145,0.357,nba_DFs/player_bs_ff_2020-12-22.csv
0022000002,1610612746,LAC,LA,1629611,Terance Mann,,,1:03,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,nba_DFs/player_bs_ff_2020-12-22.csv
0022000002,1610612746,LAC,LA,202704,Reggie Jackson,,,3:21,0.125,0.0,0.111,0.0,0.25,0.0,0.25,0.0,nba_DFs/player_bs_ff_2020-12-22.csv
0022000002,1610612746,LAC,LA,1629662,Mfiondu Kabengele,,,0:57,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,nba_DFs/player_bs_ff_2020-12-22.csv
0022000002,1610612746,LAC,LA,1629599,Amir Coffey,,,0:57,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,nba_DFs/player_bs_ff_2020-12-22.csv
0022000002,1610612746,LAC,LA,1630187,Daniel Oturu,,DNP - Coach's Decision                  ,,,,,,,,,,nba_DFs/player_bs_ff_2020-12-22.csv
0022000002,1610612747,LAL,Los Angeles,2544,LeBron James,F,,28:21,0.528,0.283,0.157,0.222,0.538,0.17,0.129,0.103,nba_DFs/player_bs_ff_2020-12-22.csv
0022000002,1610612747,LAL,Los Angeles,203076,Anthony Davis,F,,30:53,0.538,0.404,0.159,0.13,0.602,0.25,0.114,0.29,nba_DFs/player_bs_ff_2020-12-22.csv
0022000002,1610612747,LAL,Los Angeles,201188,Marc Gasol,C,,12:02,0.738,0.095,0.121,0.0,0.795,0.273,0.078,0.111,nba_DFs/player_bs_ff_2020-12-22.csv
0022000002,1610612747,LAL,Los Angeles,203484,Kentavious Caldwell-Pope,G,,23:03,0.649,0.27,0.186,0.118,0.633,0.267,0.156,0.304,nba_DFs/player_bs_ff_2020-12-22.csv
0022000002,1610612747,LAL,Los Angeles,203471,Dennis Schroder,G,,27:48,0.52,0.333,0.155,0.174,0.637,0.275,0.147,0.192,nba_DFs/player_bs_ff_2020-12-22.csv
0022000002,1610612747,LAL,Los Angeles,1626149,Montrezl Harrell,,,32:15,0.453,0.453,0.21,0.28,0.484,0.172,0.167,0.265,nba_DFs/player_bs_ff_2020-12-22.csv
0022000002,1610612747,LAL,Los Angeles,202083,Wesley Matthews,,,11:06,0.263,0.316,0.203,0.222,0.7,0.25,0.165,0.333,nba_DFs/player_bs_ff_2020-12-22.csv
0022000002,1610612747,LAL,Los Angeles,1628398,Kyle Kuzma,,,26:38,0.415,0.447,0.183,0.318,0.48,0.184,0.158,0.185,nba_DFs/player_bs_ff_2020-12-22.csv
0022000002,1610612747,LAL,Los Angeles,202693,Markieff Morris,,,19:00,0.5,0.455,0.188,0.333,0.412,0.088,0.213,0.1,nba_DFs/player_bs_ff_2020-12-22.csv
0022000002,1610612747,LAL,Los Angeles,1627936,Alex Caruso,,,16:40,0.542,0.583,0.228,0.25,0.405,0.189,0.128,0.286,nba_DFs/player_bs_ff_2020-12-22.csv
0022000002,1610612747,LAL,Los Angeles,1629659,Talen Horton-Tucker,,,10:51,0.808,0.769,0.234,0.333,0.478,0.13,0.237,0.417,nba_DFs/player_bs_ff_2020-12-22.csv
0022000002,1610612747,LAL,Los Angeles,1626188,Quinn Cook,,,1:23,1.0,0.0,0.0,0.0,0.333,0.0,0.0,0.5,nba_DFs/player_bs_ff_2020-12-22.csv
0022000002,1610612747,LAL,Los Angeles,201162,Jared Dudley,,DNP - Coach's Decision                  ,,,,,,,,,,nba_DFs/player_bs_ff_2020-12-22.csv
0022000002,1610612747,LAL,Los Angeles,1628035,Alfonzo McKinnie,,DNP - Coach's Decision                  ,,,,,,,,,,nba_DFs/player_bs_ff_2020-12-22.csv
