GAME_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_CITY,PLAYER_ID,PLAYER_NAME,START_POSITION,COMMENT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS,file_name
0022000001,1610612744,GSW,Golden State,203952,Andrew Wiggins,F,,31:14,4.0,16.0,0.25,2.0,6.0,0.333,3.0,4.0,0.75,0.0,2.0,2.0,1.0,0.0,1.0,4.0,4.0,13.0,-28.0,nba_DFs/player_bs_trad_2020-12-22.csv
0022000001,1610612744,GSW,Golden State,1629672,Eric Paschall,F,,21:33,2.0,6.0,0.333,1.0,1.0,1.0,1.0,2.0,0.5,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,6.0,-28.0,nba_DFs/player_bs_trad_2020-12-22.csv
0022000001,1610612744,GSW,Golden State,1630164,James Wiseman,C,,24:17,7.0,13.0,0.538,1.0,1.0,1.0,4.0,8.0,0.5,1.0,5.0,6.0,0.0,2.0,0.0,1.0,2.0,19.0,-10.0,nba_DFs/player_bs_trad_2020-12-22.csv
0022000001,1610612744,GSW,Golden State,1626162,Kelly Oubre Jr.,G,,25:39,3.0,14.0,0.214,0.0,6.0,0.0,0.0,0.0,0.0,4.0,3.0,7.0,2.0,1.0,2.0,3.0,1.0,6.0,-28.0,nba_DFs/player_bs_trad_2020-12-22.csv
0022000001,1610612744,GSW,Golden State,201939,Stephen Curry,G,,30:19,7.0,21.0,0.333,2.0,10.0,0.2,4.0,4.0,1.0,3.0,1.0,4.0,10.0,2.0,0.0,3.0,1.0,20.0,-23.0,nba_DFs/player_bs_trad_2020-12-22.csv
0022000001,1610612744,GSW,Golden State,1626172,Kevon Looney,,,11:17,2.0,4.0,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,3.0,4.0,-10.0,nba_DFs/player_bs_trad_2020-12-22.csv
0022000001,1610612744,GSW,Golden State,203145,Kent Bazemore,,,11:35,1.0,2.0,0.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,1.0,0.0,2.0,3.0,2.0,-3.0,nba_DFs/player_bs_trad_2020-12-22.csv
0022000001,1610612744,GSW,Golden State,1627814,Damion Lee,,,12:14,1.0,2.0,0.5,1.0,1.0,1.0,0.0,0.0,0.0,1.0,6.0,7.0,2.0,0.0,0.0,0.0,0.0,3.0,8.0,nba_DFs/player_bs_trad_2020-12-22.csv
0022000001,1610612744,GSW,Golden State,1627737,Marquese Chriss,,,12:26,4.0,10.0,0.4,1.0,3.0,0.333,0.0,0.0,0.0,3.0,5.0,8.0,1.0,0.0,0.0,0.0,2.0,9.0,-6.0,nba_DFs/player_bs_trad_2020-12-22.csv
0022000001,1610612744,GSW,Golden State,1629673,Jordan Poole,,,17:55,1.0,4.0,0.25,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,3.0,0.0,0.0,2.0,2.0,2.0,-3.0,nba_DFs/player_bs_trad_2020-12-22.csv
0022000001,1610612744,GSW,Golden State,202954,Brad Wanamaker,,,21:40,0.0,2.0,0.0,0.0,1.0,0.0,3.0,4.0,0.75,0.0,1.0,1.0,3.0,0.0,0.0,1.0,2.0,3.0,1.0,nba_DFs/player_bs_trad_2020-12-22.csv
0022000001,1610612744,GSW,Golden State,1629308,Juan Toscano-Anderson,,,13:15,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,2.0,0.0,2.0,0.0,3.0,4.0,-9.0,nba_DFs/player_bs_trad_2020-12-22.csv
0022000001,1610612744,GSW,Golden State,1628539,Mychal Mulder,,,6:36,3.0,3.0,1.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,8.0,9.0,nba_DFs/player_bs_trad_2020-12-22.csv
0022000001,1610612751,BKN,Brooklyn,203925,Joe Harris,F,,20:46,4.0,8.0,0.5,2.0,5.0,0.4,0.0,0.0,0.0,2.0,5.0,7.0,2.0,0.0,1.0,2.0,2.0,10.0,21.0,nba_DFs/player_bs_trad_2020-12-22.csv
0022000001,1610612751,BKN,Brooklyn,201142,Kevin Durant,F,,24:56,7.0,16.0,0.438,1.0,2.0,0.5,7.0,7.0,1.0,1.0,4.0,5.0,3.0,3.0,1.0,1.0,3.0,22.0,26.0,nba_DFs/player_bs_trad_2020-12-22.csv
0022000001,1610612751,BKN,Brooklyn,201599,DeAndre Jordan,C,,17:03,2.0,3.0,0.667,0.0,0.0,0.0,0.0,2.0,0.0,2.0,9.0,11.0,1.0,1.0,1.0,3.0,2.0,4.0,21.0,nba_DFs/player_bs_trad_2020-12-22.csv
0022000001,1610612751,BKN,Brooklyn,203915,Spencer Dinwiddie,G,,19:57,2.0,6.0,0.333,1.0,3.0,0.333,4.0,4.0,1.0,0.0,5.0,5.0,4.0,0.0,0.0,3.0,1.0,9.0,24.0,nba_DFs/player_bs_trad_2020-12-22.csv
0022000001,1610612751,BKN,Brooklyn,202681,Kyrie Irving,G,,25:18,10.0,16.0,0.625,4.0,7.0,0.571,2.0,2.0,1.0,1.0,3.0,4.0,4.0,0.0,0.0,1.0,3.0,26.0,32.0,nba_DFs/player_bs_trad_2020-12-22.csv
0022000001,1610612751,BKN,Brooklyn,1628386,Jarrett Allen,,,19:37,2.0,3.0,0.667,0.0,0.0,0.0,4.0,5.0,0.8,3.0,4.0,7.0,2.0,1.0,2.0,2.0,0.0,8.0,12.0,nba_DFs/player_bs_trad_2020-12-22.csv
0022000001,1610612751,BKN,Brooklyn,1629013,Landry Shamet,,,19:43,1.0,4.0,0.25,1.0,4.0,0.25,3.0,4.0,0.75,0.0,1.0,1.0,0.0,1.0,0.0,2.0,3.0,6.0,12.0,nba_DFs/player_bs_trad_2020-12-22.csv
0022000001,1610612751,BKN,Brooklyn,1627747,Caris LeVert,,,24:49,6.0,17.0,0.353,3.0,5.0,0.6,5.0,6.0,0.833,1.0,8.0,9.0,5.0,2.0,1.0,2.0,1.0,20.0,18.0,nba_DFs/player_bs_trad_2020-12-22.csv
0022000001,1610612751,BKN,Brooklyn,201145,Jeff Green,,,17:17,3.0,4.0,0.75,1.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,3.0,7.0,6.0,nba_DFs/player_bs_trad_2020-12-22.csv
0022000001,1610612751,BKN,Brooklyn,1627752,Taurean Prince,,,16:06,0.0,1.0,0.0,0.0,1.0,0.0,1.0,2.0,0.5,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,3.0,nba_DFs/player_bs_trad_2020-12-22.csv
0022000001,1610612751,BKN,Brooklyn,1629617,Reggie Perry,,,7:46,1.0,3.0,0.333,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0,-8.0,nba_DFs/player_bs_trad_2020-12-22.csv
0022000001,1610612751,BKN,Brooklyn,1628971,Bruce Brown,,,7:31,1.0,3.0,0.333,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,2.0,1.0,2.0,-7.0,nba_DFs/player_bs_trad_2020-12-22.csv
0022000001,1610612751,BKN,Brooklyn,1627789,Timothe Luwawu-Cabarrot,,,6:36,2.0,6.0,0.333,1.0,3.0,0.333,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0,2.0,5.0,-9.0,nba_DFs/player_bs_trad_2020-12-22.csv
0022000001,1610612751,BKN,Brooklyn,1629066,Rodions Kurucs,,,6:36,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,-9.0,nba_DFs/player_bs_trad_2020-12-22.csv
0022000001,1610612751,BKN,Brooklyn,204020,Tyler Johnson,,,5:59,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,-12.0,nba_DFs/player_bs_trad_2020-12-22.csv
0022000001,1610612744,GSW,Golden State,203952,Andrew Wiggins,F,,31:14,4.0,16.0,0.25,2.0,6.0,0.333,3.0,4.0,0.75,0.0,2.0,2.0,1.0,0.0,1.0,4.0,4.0,13.0,-28.0,nba_DFs/player_bs_trad_2020-12-22.csv
0022000001,1610612744,GSW,Golden State,1629672,Eric Paschall,F,,21:33,2.0,6.0,0.333,1.0,1.0,1.0,1.0,2.0,0.5,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,6.0,-28.0,nba_DFs/player_bs_trad_2020-12-22.csv
0022000001,1610612744,GSW,Golden State,1630164,James Wiseman,C,,24:17,7.0,13.0,0.538,1.0,1.0,1.0,4.0,8.0,0.5,1.0,5.0,6.0,0.0,2.0,0.0,1.0,2.0,19.0,-10.0,nba_DFs/player_bs_trad_2020-12-22.csv
0022000001,1610612744,GSW,Golden State,1626162,Kelly Oubre Jr.,G,,25:39,3.0,14.0,0.214,0.0,6.0,0.0,0.0,0.0,0.0,4.0,3.0,7.0,2.0,1.0,2.0,3.0,1.0,6.0,-28.0,nba_DFs/player_bs_trad_2020-12-22.csv
0022000001,1610612744,GSW,Golden State,201939,Stephen Curry,G,,30:19,7.0,21.0,0.333,2.0,10.0,0.2,4.0,4.0,1.0,3.0,1.0,4.0,10.0,2.0,0.0,3.0,1.0,20.0,-23.0,nba_DFs/player_bs_trad_2020-12-22.csv
0022000001,1610612744,GSW,Golden State,1626172,Kevon Looney,,,11:17,2.0,4.0,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,3.0,4.0,-10.0,nba_DFs/player_bs_trad_2020-12-22.csv
0022000001,1610612744,GSW,Golden State,203145,Kent Bazemore,,,11:35,1.0,2.0,0.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,1.0,0.0,2.0,3.0,2.0,-3.0,nba_DFs/player_bs_trad_2020-12-22.csv
0022000001,1610612744,GSW,Golden State,1627814,Damion Lee,,,12:14,1.0,2.0,0.5,1.0,1.0,1.0,0.0,0.0,0.0,1.0,6.0,7.0,2.0,0.0,0.0,0.0,0.0,3.0,8.0,nba_DFs/player_bs_trad_2020-12-22.csv
0022000001,1610612744,GSW,Golden State,1627737,Marquese Chriss,,,12:26,4.0,10.0,0.4,1.0,3.0,0.333,0.0,0.0,0.0,3.0,5.0,8.0,1.0,0.0,0.0,0.0,2.0,9.0,-6.0,nba_DFs/player_bs_trad_2020-12-22.csv
0022000001,1610612744,GSW,Golden State,1629673,Jordan Poole,,,17:55,1.0,4.0,0.25,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,3.0,0.0,0.0,2.0,2.0,2.0,-3.0,nba_DFs/player_bs_trad_2020-12-22.csv
0022000001,1610612744,GSW,Golden State,202954,Brad Wanamaker,,,21:40,0.0,2.0,0.0,0.0,1.0,0.0,3.0,4.0,0.75,0.0,1.0,1.0,3.0,0.0,0.0,1.0,2.0,3.0,1.0,nba_DFs/player_bs_trad_2020-12-22.csv
0022000001,1610612744,GSW,Golden State,1629308,Juan Toscano-Anderson,,,13:15,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,2.0,0.0,2.0,0.0,3.0,4.0,-9.0,nba_DFs/player_bs_trad_2020-12-22.csv
0022000001,1610612744,GSW,Golden State,1628539,Mychal Mulder,,,6:36,3.0,3.0,1.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,8.0,9.0,nba_DFs/player_bs_trad_2020-12-22.csv
0022000001,1610612751,BKN,Brooklyn,203925,Joe Harris,F,,20:46,4.0,8.0,0.5,2.0,5.0,0.4,0.0,0.0,0.0,2.0,5.0,7.0,2.0,0.0,1.0,2.0,2.0,10.0,21.0,nba_DFs/player_bs_trad_2020-12-22.csv
0022000001,1610612751,BKN,Brooklyn,201142,Kevin Durant,F,,24:56,7.0,16.0,0.438,1.0,2.0,0.5,7.0,7.0,1.0,1.0,4.0,5.0,3.0,3.0,1.0,1.0,3.0,22.0,26.0,nba_DFs/player_bs_trad_2020-12-22.csv
0022000001,1610612751,BKN,Brooklyn,201599,DeAndre Jordan,C,,17:03,2.0,3.0,0.667,0.0,0.0,0.0,0.0,2.0,0.0,2.0,9.0,11.0,1.0,1.0,1.0,3.0,2.0,4.0,21.0,nba_DFs/player_bs_trad_2020-12-22.csv
0022000001,1610612751,BKN,Brooklyn,203915,Spencer Dinwiddie,G,,19:57,2.0,6.0,0.333,1.0,3.0,0.333,4.0,4.0,1.0,0.0,5.0,5.0,4.0,0.0,0.0,3.0,1.0,9.0,24.0,nba_DFs/player_bs_trad_2020-12-22.csv
0022000001,1610612751,BKN,Brooklyn,202681,Kyrie Irving,G,,25:18,10.0,16.0,0.625,4.0,7.0,0.571,2.0,2.0,1.0,1.0,3.0,4.0,4.0,0.0,0.0,1.0,3.0,26.0,32.0,nba_DFs/player_bs_trad_2020-12-22.csv
0022000001,1610612751,BKN,Brooklyn,1628386,Jarrett Allen,,,19:37,2.0,3.0,0.667,0.0,0.0,0.0,4.0,5.0,0.8,3.0,4.0,7.0,2.0,1.0,2.0,2.0,0.0,8.0,12.0,nba_DFs/player_bs_trad_2020-12-22.csv
0022000001,1610612751,BKN,Brooklyn,1629013,Landry Shamet,,,19:43,1.0,4.0,0.25,1.0,4.0,0.25,3.0,4.0,0.75,0.0,1.0,1.0,0.0,1.0,0.0,2.0,3.0,6.0,12.0,nba_DFs/player_bs_trad_2020-12-22.csv
0022000001,1610612751,BKN,Brooklyn,1627747,Caris LeVert,,,24:49,6.0,17.0,0.353,3.0,5.0,0.6,5.0,6.0,0.833,1.0,8.0,9.0,5.0,2.0,1.0,2.0,1.0,20.0,18.0,nba_DFs/player_bs_trad_2020-12-22.csv
0022000001,1610612751,BKN,Brooklyn,201145,Jeff Green,,,17:17,3.0,4.0,0.75,1.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,3.0,7.0,6.0,nba_DFs/player_bs_trad_2020-12-22.csv
0022000001,1610612751,BKN,Brooklyn,1627752,Taurean Prince,,,16:06,0.0,1.0,0.0,0.0,1.0,0.0,1.0,2.0,0.5,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,3.0,nba_DFs/player_bs_trad_2020-12-22.csv
0022000001,1610612751,BKN,Brooklyn,1629617,Reggie Perry,,,7:46,1.0,3.0,0.333,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0,-8.0,nba_DFs/player_bs_trad_2020-12-22.csv
0022000001,1610612751,BKN,Brooklyn,1628971,Bruce Brown,,,7:31,1.0,3.0,0.333,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,2.0,1.0,2.0,-7.0,nba_DFs/player_bs_trad_2020-12-22.csv
0022000001,1610612751,BKN,Brooklyn,1627789,Timothe Luwawu-Cabarrot,,,6:36,2.0,6.0,0.333,1.0,3.0,0.333,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0,2.0,5.0,-9.0,nba_DFs/player_bs_trad_2020-12-22.csv
